,src_conn,dst_conn,source_,transport_,destination_,source_hash,destination_hash
652,cpalanding,vertica_writer,public.lp_ostrovok_widget,vertica_instruction: 1827,cpalanding.lp_ostrovok_widget,2737026622115867877,5979172814357146428
653,crm,vertica_writer,public.chats_chatdepartment,vertica_instruction: 1777,crm.chats_chatdepartment,8231618750372549909,1974513229405712764
654,extranet_replica,vertica_writer,public.echannel_echannelprofile,vertica_instruction: 1580,extranet.echannel_echannelprofile,4840118110108853143,4468743797227642075
655,accota,vertica_writer,public.api_individual,vertica_instruction: 1196,accota.api_individual,8097486880654700492,6220534171230802142
656,repl,vertica_writer,public.loyalty_bonuslog,vertica_instruction: 1172,ostrota.loyalty_bonuslog,3924046100479137990,6906078142939254555
657,stat_rep,vertica_writer,asterisk_olap.agent_history,vertica_instruction: 1313,analytics.agent,6303706045715036008,3726877778602763327
658,stat_rep,vertica_writer,seo.webmaster_yandex_keyword,vertica_instruction: 1215,seo.webmaster_yandex_keyword,5789550982975547955,2854751053690711082
659,stat_rep,vertica_writer,dataportal.metadata_table_metric,vertica_instruction: 1605,dataportal.metadata_table_metric,1144071158035553771,500859911997486109
660,stat_rep,vertica_writer,weblogs2.sessions_tags_uni_par,vertica_instruction: 1391,weblogs2.sessions_tags_uni_par,9126710296904801086,1260272960335298697
661,repl,vertica_writer,public.partners_orderpartnerdata,vertica_instruction: 1385,ostrota.partners_orderpartnerdata_v2,5140926228670456884,7311868939441485110
662,stat_rep,vertica_writer,ostrota.orders_orderitem,vertica_instruction: 1230,ostrota.oi_fields_tmp,3899771921034502295,3938558505880828502
663,repl,vertica_writer,public.mail_mailhistory,vertica_instruction: 43,ostrota.mail_mailhistory,120153537478982486,2629544772528716571
664,stat_rep,vertica_writer,public.region_request_stat,vertica_instruction: 17,public.region_request_stat,7923177198455012190,2035863180455390989
665,repl,vertica_writer,public.promocode_promocampaigntype,vertica_instruction: 1545,ostrota.promocode_promocampaigntype,2603537714784343445,3388564840210317037
666,extranet_replica,vertica_writer,public.hotels_rateplankind,vertica_instruction: 1293,extranet.hotels_rateplankind,166412753630333076,5659432583067308151
667,partners,vertica_writer,public.partners_segmentation_property,vertica_instruction: 1531,partners.partners_segmentation_property,8269287712421436285,3720387005656812953
668,repl,vertica_writer,public.fidelity_fidelitysegmentaccounthistory,vertica_instruction: 1430,ostrota.fidelity_fidelitysegmentaccounthistory,8814942999290429105,6808859827666971590
669,stat_rep,vertica_writer,weblogs2.postback,vertica_instruction: 244,weblogs2.postback,9024131600161632277,4363374337154920997
670,partners,vertica_writer,public.avia_orderitem,vertica_instruction: 1536,partners.avia_orderitem,5549865642305362309,2408181764072403202
671,stat_rep,vertica_writer,event_core.vertica_job_schedule,vertica_instruction: 1980,event_core.vertica_job_schedule,6675009564108669674,7292922394403696039
672,stat_rep,vertica_writer,content.content_score,vertica_instruction: 203,content.content_score,2391111578967603577,4360405111687826711
673,repl,vertica_writer,public.mail_mailcontact_subscriptions,vertica_instruction: 49,ostrota.mail_mailcontact_subscriptions,5772421871713265061,7165952960361954666
674,stat_rep,vertica_writer,etl.export_to_sftp_scheduler,vertica_instruction: 1994,etl.export_to_sftp_scheduler,7227199056160282149,2588209440001615342
675,stat_rep,vertica_writer,weblogs2.sessions_tags_v2,vertica_instruction: 1870,analytics_sandbox.analytics_sessions_v2_20220501,4459833786761726861,6393884653273776625
676,railwaycore,vertica_writer,public.railway_segment,vertica_instruction: 1825,railwaycore.railway_segment,1777115453320576983,5420417694809944848
677,stat_rep,vertica_writer,public.booking,vertica_instruction: 1015,public.booking_hotcore_rate,8633447138587752363,7757900018434277574
678,stat_rep,vertica_writer,analytics.cancellation_model_materialized_history,vertica_instruction: 1448,fortemp.cancellation_model_cancelled_date_time_20191201,5322568386621545137,3854107590249275057
679,stat_rep,vertica_writer,google_spreadsheet.happyrooms_tally_sheet_eod_report,vertica_instruction: 854,google_spreadsheet.happyrooms_tally_sheet_eod_report,7120238058096392909,4438071507069459651
680,stat_rep,vertica_writer,public.banned_entity,vertica_instruction: 229,public.banned_entity,8974334781549867273,7094365340786066238
681,partners,vertica_writer,public.railway_bookingoption,vertica_instruction: 1695,partners.railway_bookingoption,7566747658875988049,3456319385955922542
682,repl,vertica_writer,public.orders_orderitemrebookhistory,vertica_instruction: 212,ostrota.orders_orderitemrebookhistory,9017816560495299153,779232857229636924
683,stat_rep,vertica_writer,cltv.globaluser_booking_basket2booking,vertica_instruction: 1150,cltv.globaluser_booking_basket2booking,2253049866673064769,2654190945363412102
684,stat_rep,vertica_writer,seo.catalog_url_pattern,vertica_instruction: 1218,seo.catalog_url_pattern,888034102150954044,7140033375988833428
685,stat_rep,vertica_writer,static.supplier_commission,vertica_instruction: 1576,actualize.sat_order_commission_static,1563439841914852765,2215603787390441378
686,stat_rep,vertica_writer,public.session_yield_v2,vertica_instruction: 26,public.session_yield,8648227376217192282,4945201644068275404
687,aviacore,vertica_writer,public.avia_ticket,vertica_instruction: 1513,avia.avia_ticket,2862019594244502130,3387550670388026381
688,stat_rep,vertica_writer,google_spreadsheet.operations_department_performance__odp__vip_support,vertica_instruction: 862,google_spreadsheet.operations_department_performance__odp__vip_support,9035333055461569573,7583023433932477700
689,partners,vertica_writer,public.b2b_b2bsalesregion,vertica_instruction: 1244,partners.b2b_b2bsalesregion,2549987993241263888,4309837653758189803
690,extranet_replica,vertica_writer,public.hotels_rateplantag,vertica_instruction: 1852,extranet.hotels_rateplantag,7873235057262594323,8837270680056712667
691,billing,vertica_writer,public.billing_billingaddress,vertica_instruction: 1728,billing.billing_billingaddress,8236038091193249098,5911936576397574873
692,diadmin,vertica_writer,public.marketing_attributionlevelsproperties,vertica_instruction: 1975,diadmin.marketing_attributionlevelsproperties,6844187608588178026,3195838111517078027
693,redmine,vertica_writer,public.watchers,vertica_instruction: 1640,redmine.watchers,5709347037969089799,1146861482076534900
694,repl,vertica_writer,stat.auth_user_view_v2,vertica_instruction: 1247,analytics.ota_users,6544928176851188887,8672093173837700470
