,src_conn,dst_conn,source_,transport_,destination_,source_hash,destination_hash
62,intentmedia_ostrovok,sftp_to_tmp,/clicktripz/upload/ostrovok/,pm_script: import_from_sftp & export_to_sftp,/tmp/cliktripz,977767383386889589,4879965906238319560
63,trivago_zenhotels,sftp_to_tmp,/infiles/,pm_script: import_from_sftp & export_to_sftp,/tmp/zenhotels@trivago_daily,4983684011472729699,6183553876390677449
64,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_bm_property_daily,6183553876390677449,7951295783859894202
65,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@tripadvisor_click_cost_v2_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.report_tripadvisor_click_cost_v2_daily,5057277524837579188,3267574599604782185
66,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_bm_suggestions_daily,6183553876390677449,6559232372612969071
67,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@tripadvisor_click_cost_v2_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.report_tripadvisor_click_cost_v2_daily,1335247923100005018,3267574599604782185
68,tripadvisor_ostrovok,sftp_to_tmp,Auction_information/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovok@tripadvisor_auction_information_daily,6537432630149140933,7261290833735189451
69,tripadvisor_ostrovok,sftp_to_tmp,/home/Ostrovok/detailed_conversion_report/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovok@tripadvisor_conversion_daily,1940156754581820836,3742401820175996616
70,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@smartertravel_daily,pm_script: import_from_sftp & export_to_sftp,media.reports_smartertravel_daily,5818170251762986717,6151225932574543267
71,sftp_to_tmp,sftp_to_vertica,/tmp/intentmedia_daily,pm_script: import_from_sftp & export_to_sftp,media.report_intentmedia_daily,3354253864578840409,3319799667710835148
72,intentmedia_ostrovok,sftp_to_tmp,/ppc/upload/,pm_script: import_from_sftp & export_to_sftp,/tmp/ppc,5370673628947844899,7379808344806236542
73,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_bm_daily,6183553876390677449,4075612303233772085
74,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_teb_daily,6183553876390677449,6664707508188981105
75,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@tripadvisor_bmp,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_bmp_daily,7828054350975267931,8892485378441983931
76,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@tripadvisor_auction_information_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_auction_information,4552491219906018481,1574810597216810608
77,sftp_to_tmp,sftp_to_vertica,/tmp/ppc,pm_script: import_from_sftp & export_to_sftp,ppc.yandex_stat_after_20230101,7379808344806236542,85028128490099988
78,sftp_to_tmp,sftp_to_vertica,/tmp/media_alpha,pm_script: import_from_sftp & export_to_sftp,media.reports_media_alpha,8013455711707327523,7805230746084120811
79,trivago_ostrovokv2,sftp_to_tmp,/infiles/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovokv2@trivago_pos_daily,2844027321981216018,2483145590723435907
80,intentmedia_ostrovok,sftp_to_tmp,IntentMedia/upload/,pm_script: import_from_sftp & export_to_sftp,/tmp/intentmedia_daily,4259291100117213221,3354253864578840409
81,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@tripadvisor_mbl,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_mbl_weekly,1516815334192296754,1623578016884949019
82,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_bm_suggestions_daily,895418706878859547,6559232372612969071
83,sftp_to_tmp,sftp_to_vertica,/tmp/ppc,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_google_hotel_performance_report,7379808344806236542,3017517825620555733
84,sftp_to_tmp,sftp_to_vertica,/tmp/cerebro,pm_script: import_from_sftp & export_to_sftp,metasearch.cerebro_trivago_bm,8494520579310617701,5896031097722856140
85,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@tripadvisor_mbl,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_mbl_weekly,401538308825624394,1623578016884949019
86,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_bm_pos_daily,6183553876390677449,7147607263586050572
87,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_mbl_daily,6183553876390677449,8688384819664869249
88,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovokv2@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_daily,6025022746068242682,2133451498782412610
89,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@trivago_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_daily,6183553876390677449,2133451498782412610
90,cerebro_zenhotels,sftp_to_tmp,/data/bid_multipliers_files/,pm_script: import_from_sftp & export_to_sftp,/tmp/cerebro,5906970326381229034,8494520579310617701
91,kayak_ostrovokv2,sftp_to_tmp,bob_reports/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovok@kayak_bob_daily,2753486875368460650,7389654736600158758
92,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@tripadvisor_conversion_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_pixel_conversions,3742401820175996616,3718380293743505461
93,wego_ostrovok,sftp_to_tmp,/files/daily_reports/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovok@wego_daily,5528422220825464744,5980214629874633499
94,trivago_happyrooms,sftp_to_tmp,/infiles/,pm_script: import_from_sftp & export_to_sftp,/tmp/happyrooms@trivago_daily,6635176625540190858,1478449988266991476
95,tripadvisor_ostrovok,sftp_to_tmp,clickreports/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovok@tripadvisor_daily,4658753791775759019,7824761633429160201
96,tripadvisor_ostrovok,sftp_to_tmp,/home/Zenhotels/MBL/,pm_script: import_from_sftp & export_to_sftp,/tmp/zenhotels@tripadvisor_mbl,5801784143622160770,1516815334192296754
97,intentmedia_ostrovok,sftp_to_tmp,/clicktripz/upload/zenhotels/,pm_script: import_from_sftp & export_to_sftp,/tmp/cliktripz,4522222905846127893,4879965906238319560
98,intentmedia_ostrovok,sftp_to_tmp,/ppc/upload/costs/google/,pm_script: import_from_sftp & export_to_sftp,/tmp/ppc,4646982458651962020,7379808344806236542
99,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@tripadvisor_auction_information_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_auction_information,7261290833735189451,1574810597216810608
100,tripadvisor_ostrovok,sftp_to_tmp,MBL/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovok@tripadvisor_mbl,1518574848409262765,401538308825624394
101,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovok@kayak_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_kayak_ostrovok_daily,8732861301901607266,8266387516380218015
102,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@tripadvisor_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_auction_overview_daily,4124813345432311761,7103719606117932504
103,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@tripadvisor_conversion_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_pixel_conversions,5869321415232735296,3718380293743505461
104,tripadvisor_ostrovok,sftp_to_tmp,Zenhotels/detailed_conversion_report/,pm_script: import_from_sftp & export_to_sftp,/tmp/zenhotels@tripadvisor_conversion_daily,2331333278725060392,5869321415232735296
105,sftp_to_tmp,sftp_to_vertica,/tmp/zenhotels@tripadvisor_click_cost_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.report_tripadvisor_click_cost_v1_daily,1750248140475452995,7827622442395693414
106,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovokv2@trivago_pos_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_trivago_pos_daily,2483145590723435907,3319742433986002839
107,kayak_ostrovokv2,sftp_to_tmp,bob_reports/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovokv2@kayak_bob_daily,2753486875368460650,4340042328577029057
108,sftp_to_tmp,sftp_to_vertica,/tmp/intentmedia_advestering_details,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_intentmedia_advertiser_details_daily,8136901156725314348,335926263635519262
109,tripadvisor_ostrovok,sftp_to_tmp,Zenhotels/auction_overview/,pm_script: import_from_sftp & export_to_sftp,/tmp/zenhotels@tripadvisor_daily,6937895939006768827,4124813345432311761
110,sftp_to_tmp,sftp_to_vertica,/tmp/intentmedia_advestering_snapshots,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_intentmedia_advertiser_snapshots_daily,5649617792907660225,1886734854204344508
111,sftp_to_tmp,sftp_to_vertica,/tmp/ostrovokv2@tripadvisor_daily,pm_script: import_from_sftp & export_to_sftp,metasearch.reports_tripadvisor_ostrovokv2_daily,7373347814612191251,2249455577399736734
112,smartertravel_ostrovok,sftp_to_tmp,reports/,pm_script: import_from_sftp & export_to_sftp,/tmp/ostrovok@smartertravel_daily,5195597043518737255,5818170251762986717
