,src_conn,dst_conn,source_,transport_,destination_,source_hash,destination_hash
60,crm-stat-confirmation,vertica_writer,crm.confirmation2_history,kafka_to_vertica,crm.confirmation2_history,3212879223854497037,2646513732457697145
61,serp-hp-match,vertica_writer,hotcore.serp_hp_match,kafka_to_vertica,hotcore.serp_hp_match,1931464356871138021,847848765466617050
62,crm-stat-tpp,vertica_writer,crm.tpp,kafka_to_vertica,crm.tpp,1212896575969409268,7185496999007674268
63,crm-stat-tpp,vertica_writer,crm.tpp_history,kafka_to_vertica,crm.tpp_history,7329808977228829318,4614286657782406404
64,crm-stat-api-integration,vertica_writer,crm.api_integration,kafka_to_vertica,crm.api_integration,4790298523111172928,3719300582787940327
65,crm-stat-api-integration,vertica_writer,crm.api_integration_history,kafka_to_vertica,crm.api_integration_history,2291065908205454791,8707135507253666750
66,crm-stat-workboard,vertica_writer,crm.workboard,kafka_to_vertica,crm.workboard,6047727956009617945,3147513332015306442
67,crm-stat-workboard,vertica_writer,crm.workboard_history,kafka_to_vertica,crm.workboard_history,1675340126150417881,5284974362009941074
68,rnd-partner-pricing-groups-prod,vertica_writer,rnd.partner_pricing_group,kafka_to_vertica,rnd.partner_pricing_group,1437404030822076719,4475876397163872959
69,rnd-partner-pricing-groups-prod,vertica_writer,rnd.partner_pricing_group_history,kafka_to_vertica,rnd.partner_pricing_group_history,6364356350518303398,1590585706359941066
70,rate-reprice-test,vertica_writer,analytics_sandbox.rate_reprice_kafka_20220820,kafka_to_vertica,analytics_sandbox.rate_reprice_kafka_20220820,4581334584107926858,2145928796457421562
71,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup,kafka_to_vertica,crm.b2bgroup,6660271063607195158,3572232680827156955
72,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_history,kafka_to_vertica,crm.b2bgroup_history,8156773301302206586,1895501657588389011
73,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation,kafka_to_vertica,crm.b2bgroup,7961670894255697571,3572232680827156955
74,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation_history,kafka_to_vertica,crm.b2bgroup_history,2767113811875347454,1895501657588389011
75,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation_orderitem,kafka_to_vertica,crm.b2bgroup,4703146848845814533,3572232680827156955
76,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation_to_orderitem,kafka_to_vertica,crm.b2bgroup,3772771237703786978,3572232680827156955
77,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation_to_orderitem_history,kafka_to_vertica,crm.b2bgroup_history,5188364407423863291,1895501657588389011
78,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation_payment,kafka_to_vertica,crm.b2bgroup,2265738346285452528,3572232680827156955
79,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation_payments_history,kafka_to_vertica,crm.b2bgroup_history,8498054540769347042,1895501657588389011
80,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation_additional_services,kafka_to_vertica,crm.b2bgroup,7172953343667099291,3572232680827156955
81,crm-stat-b2b-groups,vertica_writer,crm.b2bgroup_accommodation_additional_services_history,kafka_to_vertica,crm.b2bgroup_history,2333333859491247143,1895501657588389011
82,content-otahotel-content,vertica_writer,content.content_otahotel_attribute,kafka_to_vertica,content.content_otahotel_attribute,8593379467703509635,920879349074832725
